,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away,Goals_scored_diff,Goals_Rec_diff,Goals_Diff_diff,Diff_Goal_Match
20,1899 hoffenheim,bayern munchen,7,2,17,17,25,36,6,7,4,11,3,3,32,36,23,18,9,18,germany,0,0,3.0,1.66,1,3,A,L,1,3,-4,5,-9,-2
35,borussia dortmund,hannover 96,1,17,18,18,45,11,14,3,1,2,5,11,45,17,18,36,27,-19,germany,0,4,3.16,1.5,5,1,A,D,0,0,28,-18,46,4
39,borussia monchengladbach,fc augsburg,3,15,18,18,36,15,11,3,4,3,6,9,37,26,18,31,19,-5,germany,0,0,2.5,1.0,2,0,A,D,1,1,11,-13,24,2
47,rb leipzig,borussia dortmund,4,1,17,17,31,42,9,4,4,13,3,1,31,44,17,18,14,26,germany,3,0,2.8,2.0,0,1,A,L,1,4,-13,-1,-12,-1
67,fsv mainz,fc nurnberg,11,18,18,18,24,11,6,6,6,2,5,11,20,15,24,41,-4,-26,germany,0,0,2.5,1.5,2,1,A,D,1,1,5,-17,22,1
69,werder bremen,eintracht frankfurt,9,5,18,18,25,30,7,4,7,9,3,6,29,37,29,24,0,13,germany,0,0,2.83,1.16,2,2,A,W,2,1,-8,5,-13,0
74,schalke 04,vfl wolfsburg,14,6,17,17,18,28,5,3,9,8,4,5,20,27,24,22,-4,5,germany,0,0,2.16,0.83,2,1,A,L,1,2,-7,2,-9,1
90,fc nurnberg,hertha berlin,18,9,17,17,11,24,2,5,10,6,6,5,14,26,38,27,-24,-1,germany,0,0,2.33,1.0,1,3,A,L,0,1,-12,11,-23,-2
95,hertha berlin,schalke 04,7,12,18,18,27,21,7,6,5,6,3,9,29,22,28,25,1,-3,germany,0,0,1.83,0.66,2,2,A,W,2,0,7,3,4,0
102,bayer leverkusen,borussia monchengladbach,9,3,17,17,24,33,7,3,7,10,3,4,26,36,29,18,-3,18,germany,5,4,3.5,1.0,0,1,A,W,5,0,-10,11,-21,-1
122,sc freiburg,1899 hoffenheim,13,8,18,18,21,25,5,6,7,6,7,5,22,33,28,26,-6,7,germany,0,0,3.0,1.16,2,4,A,L,1,3,-11,2,-13,-2
123,vfl wolfsburg,bayer leverkusen,6,11,18,18,28,24,8,4,6,7,3,8,28,26,24,30,4,-4,germany,0,0,3.83,1.33,0,3,A,W,3,1,2,-6,8,-3
127,fc augsburg,fortuna dusseldorf,15,14,17,17,15,18,3,6,8,5,3,9,25,19,29,33,-4,-14,germany,0,4,3.33,1.33,1,2,A,W,2,1,6,-4,10,-1
133,vfb stuttgart,fsv mainz,16,12,17,17,14,21,4,2,11,5,6,6,12,17,35,22,-23,-5,germany,0,4,2.5,0.83,2,3,A,L,0,1,-5,13,-18,-1
151,hannover 96,werder bremen,17,10,17,17,11,22,2,5,10,6,4,7,17,28,35,29,-18,-1,germany,0,0,2.83,1.16,0,1,A,D,1,1,-11,6,-17,-1
