,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away
7,juventus,chievo,1,20,19,19,53,8,17,2,0,1,8,10,38,14,11,35,27,-21,italy,0,6,3.16,1.0,3,0,A,W,3,2
15,napoli,lazio,2,5,19,19,44,32,14,2,3,9,5,5,37,28,17,21,20,7,italy,0,4,3.33,1.33,2,1,A,W,2,1
16,inter,sassuolo,3,12,19,19,39,25,12,3,4,6,7,6,31,30,14,32,17,-2,italy,0,5,2.16,1.33,0,0,A,L,0,1
31,as roma,torino,6,9,19,19,30,27,8,6,5,6,9,4,34,24,24,19,10,5,italy,0,4,2.83,0.66,3,2,A,W,1,0
46,ac milan,napoli,4,2,20,20,34,47,9,7,4,15,2,3,28,39,20,18,8,21,italy,0,0,3.16,1.5,0,0,A,L,2,3
60,genoa,ac milan,14,7,19,19,20,31,5,5,9,8,7,4,25,26,35,20,-10,6,italy,0,0,1.83,0.66,0,2,A,L,1,2
76,palermo,salernitana,1,11,18,18,37,24,10,7,1,6,6,6,31,21,13,24,18,-3,italy,0,0,1.66,0.66,1,2,A,D,0,0
80,sampdoria,udinese,8,15,20,20,30,18,8,6,6,4,6,10,35,17,26,25,9,-8,italy,0,0,2.0,0.66,4,0,A,L,0,1
82,frosinone,atalanta,19,8,19,19,10,28,1,7,11,8,4,7,12,39,37,27,-25,12,italy,4,0,1.4,0.4,0,5,A,L,0,4
87,sassuolo,cagliari,12,13,20,20,26,21,6,8,6,4,9,7,30,19,32,27,-2,-8,italy,0,0,3.5,1.66,3,0,A,D,2,2
91,fiorentina,sampdoria,11,7,19,19,26,29,6,8,5,8,5,6,25,32,18,23,7,9,italy,0,0,3.33,1.33,3,3,A,D,1,1
97,cagliari,empoli,13,17,19,19,20,16,4,8,7,4,4,11,17,22,25,37,-8,-15,italy,0,0,2.83,1.83,2,2,A,L,0,2
99,spal,bologna,16,18,19,19,17,13,4,5,10,2,7,10,15,15,27,29,-12,-14,italy,0,0,1.66,0.33,1,1,A,W,1,0
139,udinese,parma,15,11,19,19,18,25,4,6,9,7,4,8,16,17,23,23,-7,-6,italy,0,0,3.16,1.5,1,2,A,D,2,2
158,spezia,venezia,9,13,18,18,26,21,7,5,6,5,6,7,25,17,20,19,5,-2,italy,0,0,1.0,0.66,1,1,A,L,0,1
201,novara,arzachena,7,19,21,22,32,14,7,11,3,5,0,17,28,14,17,40,11,-26,italy,0,0,2.0,0.0,2,0,H,W,2,0
219,cremonese,palermo,12,1,19,19,23,37,5,8,6,10,7,2,20,32,18,15,2,17,italy,0,0,3.2,1.4,2,0,A,D,2,2
223,padova,verona,19,5,18,18,12,30,2,6,10,8,6,4,18,26,31,19,-13,7,italy,0,0,2.0,1.16,3,0,A,D,1,1
229,perugia,brescia,10,2,18,18,26,32,7,5,6,8,8,2,25,35,26,24,-1,11,italy,0,0,3.0,1.16,0,2,A,D,1,1
231,carpi,foggia,15,17,18,18,17,13,4,5,9,5,6,7,18,26,31,31,-13,-5,italy,0,0,4.2,1.4,0,2,A,L,2,4
233,lecce,benevento,4,6,18,18,30,29,8,6,4,8,5,5,30,27,23,21,7,6,italy,0,4,3.0,1.16,1,1,A,D,3,3
273,salernitana,lecce,10,3,20,20,27,34,7,6,7,9,7,4,23,33,27,24,-4,9,italy,0,0,3.0,1.0,1,2,A,D,2,2
275,cittadella,carpi,6,17,20,20,30,17,7,9,4,4,5,11,23,19,18,36,5,-17,italy,0,0,2.33,1.5,3,1,A,W,1,0
281,sicula leonzio,trapani,12,2,20,20,23,40,6,5,9,12,5,3,16,33,22,15,-6,18,italy,3,0,1.33,0.33,0,0,A,L,0,3
282,catania,matera,4,18,19,20,37,11,11,4,4,4,4,12,29,15,14,40,15,-25,italy,0,0,2.0,0.5,0,2,A,W,2,0
283,albinoleffe,gubbio,19,13,21,21,18,24,2,12,7,5,9,7,12,18,17,18,-5,0,italy,0,0,2.16,0.66,1,2,A,D,0,0
314,ascoli,perugia,12,8,20,20,25,29,6,7,7,8,5,7,20,28,25,28,-5,0,italy,0,0,2.16,0.83,0,3,A,L,0,2
318,reggina,viterbese castrense,5,16,21,15,34,16,10,4,7,4,4,7,28,15,23,21,5,-6,italy,0,0,3.0,1.5,3,1,H,W,3,1
319,potenza,juve stabia,10,1,21,21,27,50,6,9,6,15,6,0,23,46,23,9,0,37,italy,4,0,2.0,0.6,0,0,A,L,0,4
320,carrarese,lucchese,2,15,21,20,37,18,11,4,6,5,11,4,46,30,28,25,18,5,italy,0,0,4.0,1.83,3,1,A,D,2,2
321,feralpisalo,ternana,12,5,22,20,29,31,7,8,7,8,7,5,23,29,24,19,-1,10,italy,0,0,3.5,2.0,3,2,H,W,3,2
323,ravenna,triestina,5,2,21,21,31,35,8,7,6,10,6,5,22,27,21,16,1,11,italy,3,0,4.4,2.2,2,2,A,L,0,3
365,casertana,bisceglie,7,17,21,21,32,15,8,8,5,3,6,12,27,9,19,28,8,-19,italy,3,0,2.5,1.25,3,0,H,W,3,0
367,arezzo,pisa,4,7,21,20,34,31,8,10,3,8,7,5,25,23,17,20,8,3,italy,0,0,2.0,1.16,1,0,A,D,0,0
368,teramo,imolese,14,3,22,22,23,35,5,8,9,8,11,3,20,29,27,17,-7,12,italy,0,0,2.0,1.0,0,2,H,L,0,2
371,siracusa,catania,16,3,18,18,15,37,4,4,10,11,4,3,16,28,24,12,-8,16,italy,0,0,2.0,0.4,2,1,A,L,1,2
413,fermana,renate,4,17,22,22,35,22,10,5,7,5,7,10,15,14,16,20,-1,-6,italy,0,0,2.33,0.33,1,1,A,W,1,0
420,rende,monopoli,8,6,21,20,31,33,10,2,9,9,8,3,29,24,28,15,1,9,italy,0,0,2.25,0.75,2,4,H,L,2,4
421,renate,monza,17,10,21,21,21,29,5,6,10,7,8,6,14,18,20,18,-6,0,italy,0,0,2.66,0.83,0,0,A,L,0,1
422,casertana,rieti,9,14,19,19,26,19,6,8,5,6,1,12,22,20,18,30,4,-10,italy,0,0,3.0,1.0,2,1,H,W,2,1
427,pordenone,albinoleffe,1,19,20,20,40,18,11,7,2,2,12,6,30,12,18,16,12,-4,italy,0,-4,1.33,1.16,1,0,A,W,2,1
428,sudtirol,ravenna,10,5,20,20,27,30,6,9,5,8,6,6,18,21,16,20,2,1,italy,0,0,1.83,1.33,1,1,A,W,1,0
468,atalanta,fiorentina,7,3,11,11,14,25,4,2,5,8,1,2,13,38,15,10,-2,28,italy,0,-4,1.83,0.5,0,6,A,L,0,2
