,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away
24,marseille,lille,7,2,20,21,31,40,9,4,7,12,4,5,33,34,29,21,4,13,france,3,0,2.33,0.83,1,2,A,L,0,3
25,lille,amiens,2,17,20,20,37,18,11,4,5,5,3,12,32,17,20,34,12,-17,france,0,0,3.0,0.66,2,1,A,W,3,2
45,lyon,reims,3,9,18,19,32,26,9,5,4,6,8,5,30,15,21,18,9,-3,france,0,4,3.0,1.83,1,1,A,L,0,1
51,paris sg,guingamp,1,20,18,20,50,14,16,2,0,3,5,12,53,16,10,36,43,-20,france,0,0,4.0,0.83,9,0,A,W,3,1
52,marseille,monaco,7,19,17,18,27,13,8,3,6,3,4,11,30,16,26,29,4,-13,france,0,0,5.33,2.66,1,1,A,W,3,2
55,monaco,strasbourg,19,7,20,20,15,29,3,6,11,7,8,5,18,32,31,24,-13,8,france,0,0,2.83,1.16,1,5,A,L,1,2
70,caen,marseille,16,9,20,19,18,28,3,9,8,8,4,7,20,32,28,29,-8,3,france,0,5,3.33,1.33,0,1,A,L,0,2
72,dijon,monaco,18,19,20,21,17,15,4,5,11,3,6,12,17,19,33,36,-16,-17,france,0,0,3.33,1.83,2,0,A,D,2,2
73,saint etienne,lyon,3,4,20,20,36,34,10,6,4,9,7,4,31,33,23,24,8,9,france,0,0,2.16,1.0,1,2,A,L,0,1
77,dijon,montpellier,18,5,18,18,16,30,4,4,10,8,6,4,16,25,31,15,-15,10,france,0,-4,3.33,1.16,1,1,A,W,2,1
