,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away,Goals_scored_diff,Goals_Rec_diff,Goals_Diff_diff
9,villarreal,real madrid,18,4,16,16,15,29,3,6,7,9,2,5,17,24,21,19,-4,5,spain,0,0,2.66,0.83,2,2,H,D,2,2,-7,2,-9
12,fc barcelona,eibar,1,16,19,19,43,22,13,4,2,5,7,7,52,21,20,27,32,-6,spain,0,6,4.5,1.5,3,0,A,W,2,0,31,-7,38
14,fc barcelona,leganes,1,13,19,19,43,22,13,4,2,5,7,7,53,17,20,21,33,-4,spain,0,4,3.8,1.6,3,1,A,L,1,2,36,-1,37
21,getafe,fc barcelona,7,1,17,17,25,37,6,7,4,11,4,2,18,48,13,19,5,29,spain,0,4,2.83,1.83,1,2,A,D,0,0,-30,-6,-24
22,real madrid,sevilla,4,3,19,19,33,33,10,3,6,9,6,4,28,31,24,20,4,11,spain,3,0,4.5,2.16,2,0,A,L,0,3,-3,4,-7
26,real betis,real madrid,7,5,18,18,26,30,7,5,6,9,3,6,21,26,21,23,0,3,spain,0,4,4.33,2.0,1,2,H,L,3,5,-5,-2,-3
27,atletico madrid,levante,2,11,18,18,35,23,9,8,1,6,5,7,26,30,13,34,13,-4,spain,3,4,3.33,1.33,1,0,H,W,3,0,-4,-21,17
28,real madrid,real sociedad,5,15,17,17,30,19,9,3,5,5,4,8,26,18,21,20,5,-2,spain,3,6,3.66,1.83,0,2,H,W,5,2,8,1,7
34,huesca,real betis,20,6,17,17,8,26,1,5,11,7,5,5,15,20,34,19,-19,1,spain,0,0,2.25,0.5,2,1,A,L,1,3,-5,15,-20
36,valencia,villarreal,9,19,20,20,26,18,5,11,4,3,9,8,19,21,18,26,1,-5,spain,0,0,1.66,1.0,3,0,A,D,0,0,-2,-8,6
37,valencia,valladolid,12,15,18,18,22,21,4,10,4,5,6,7,16,16,16,20,0,-4,spain,0,0,2.83,1.66,1,1,A,D,0,0,0,-4,4
40,sevilla,levante,4,10,20,20,33,26,9,6,5,7,5,8,31,32,22,35,9,-3,spain,4,0,3.33,1.83,5,0,A,W,6,2,-1,-13,12
42,atletico madrid,getafe,2,6,20,20,41,31,11,8,1,8,7,5,30,25,13,16,17,9,spain,0,0,1.33,0.83,2,0,A,W,2,0,5,-3,8
49,celta,athletic bilbao,14,18,17,17,21,16,5,6,6,2,10,5,28,16,26,24,2,-8,spain,0,4,2.66,1.16,1,2,A,D,1,1,12,2,10
53,villarreal,getafe,19,7,18,18,17,25,3,8,7,6,7,5,19,19,23,15,-4,4,spain,0,0,2.0,0.5,1,2,H,W,1,0,0,8,-8
54,sevilla,atletico madrid,3,2,17,17,32,34,9,5,3,9,7,1,30,25,17,12,13,13,spain,3,0,3.5,0.83,1,1,H,L,2,5,5,5,0
56,espanyol,leganes,14,16,17,17,21,19,6,3,8,4,7,6,18,16,24,20,-6,-4,spain,0,0,2.5,0.5,1,0,A,L,2,3,2,4,-2
61,celta,valencia,17,11,19,19,21,23,5,6,8,4,11,4,31,17,32,17,-1,0,spain,0,0,3.33,1.16,1,2,A,D,1,1,14,15,-1
63,real sociedad,espanyol,12,9,18,18,22,24,6,4,8,7,3,8,20,19,20,24,0,-5,spain,0,0,3.33,1.33,3,2,A,L,1,2,1,-4,5
66,levante,girona,10,9,17,17,22,22,6,4,7,5,7,5,28,18,32,20,-4,-2,spain,0,0,2.5,0.66,2,2,A,D,1,1,10,12,-2
68,leganes,eibar,15,11,20,20,22,25,5,7,8,6,7,7,18,24,24,28,-6,-4,spain,0,0,1.4,0.2,2,2,A,L,0,1,-6,-4,-2
78,leganes,huesca,16,20,18,18,19,11,4,7,7,2,5,11,16,17,21,35,-5,-18,spain,0,0,2.5,0.5,1,0,H,L,2,3,-1,-14,13
83,real betis,girona,8,10,19,19,26,24,7,5,7,5,9,5,22,21,23,23,-1,-2,spain,0,0,2.33,0.83,3,2,A,W,1,0,1,0,1
86,valladolid,rayo vallecano,12,19,17,17,21,13,5,6,6,3,4,10,16,17,19,32,-3,-15,spain,0,0,2.5,1.16,0,1,H,D,1,1,-1,-13,12
88,eibar,espanyol,16,12,19,19,22,24,5,7,7,7,3,9,21,21,28,27,-7,-6,spain,0,0,3.33,1.5,3,0,A,L,0,1,0,1,-1
96,levante,valladolid,12,14,19,19,23,22,6,5,8,5,7,7,30,17,35,21,-5,-4,spain,0,0,3.16,1.5,2,0,A,L,1,2,13,14,-1
98,villarreal,athletic bilbao,19,15,19,19,17,22,3,8,8,4,10,5,20,20,25,25,-5,-5,spain,3,0,2.33,0.66,1,1,A,W,3,0,0,0,0
