,Results_1,Results_2,League_Rank_1,League_Rank_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,H2H_Goals_Home,H2H_Goals_Away,Diff_Goal_Match
0,2,1,3,1,54,48,16,8,38,40,0,0,1
1,0,2,15,6,15,41,27,32,-12,9,2,3,-2
2,0,1,13,1,24,49,29,10,-5,39,0,1,-1
3,2,1,6,13,44,24,32,30,12,-6,2,3,1
4,2,1,4,15,38,15,16,29,22,-14,2,1,1
5,4,3,1,14,50,20,10,28,40,-8,2,0,1
6,0,0,4,17,38,21,16,38,22,-17,3,0,0
7,1,0,10,5,29,46,32,31,-3,15,1,3,1
8,1,2,19,3,20,46,49,22,-29,24,1,3,-1
9,3,0,2,11,56,23,17,25,39,-2,1,1,3
10,0,3,16,3,19,43,38,21,-19,22,0,1,-3
11,2,0,11,12,31,31,31,40,0,-9,2,2,2
12,0,3,20,2,13,59,37,17,-24,42,1,6,-3
13,2,0,5,4,46,40,32,17,14,23,2,3,2
14,0,2,8,14,23,17,23,26,0,-9,1,0,-2
15,2,2,11,13,27,22,30,27,-3,-5,0,1,0
16,4,1,5,19,42,18,30,43,12,-25,5,1,3
17,1,2,7,18,25,21,23,38,2,-17,0,0,-1
18,2,1,16,19,21,19,42,47,-21,-28,2,4,1
19,1,2,20,18,12,19,35,41,-23,-22,1,1,-1
20,2,0,12,9,31,30,42,32,-11,-2,2,1,2
21,4,3,11,8,23,26,28,25,-5,1,1,3,1
22,2,1,16,10,23,33,39,31,-16,2,2,1,1
23,3,3,12,9,28,27,37,28,-9,-1,4,0,0
24,0,0,7,15,32,23,32,43,0,-20,3,1,0
25,0,0,17,20,19,13,41,37,-22,-24,0,0,0
26,3,0,18,17,16,19,31,41,-15,-22,0,0,3
27,1,2,14,8,19,30,26,31,-7,-1,1,2,-1
28,0,2,23,4,18,55,40,35,-22,20,2,1,-2
29,0,1,10,8,31,24,30,23,1,1,2,1,-1
30,3,1,3,8,49,39,35,30,14,9,2,2,2
31,2,0,1,6,44,38,28,32,16,6,4,1,2
32,2,2,9,8,47,31,38,32,9,-1,0,1,0
33,4,2,10,1,35,42,27,24,8,18,1,1,2
34,2,1,13,24,51,22,45,48,6,-26,1,1,1
35,1,1,5,20,30,33,19,43,11,-10,2,2,0
36,6,0,14,21,30,17,33,32,-3,-15,1,0,6
37,1,1,18,2,35,47,35,33,0,14,0,1,0
38,2,1,15,3,31,53,40,32,-9,21,1,1,1
39,2,2,2,4,52,46,36,29,16,17,1,2,0
40,1,2,21,1,27,47,46,30,-19,17,0,2,-1
41,0,3,24,8,22,40,44,33,-22,7,3,2,-3
42,2,1,6,22,38,30,34,41,4,-11,2,1,1
43,1,1,6,5,37,27,31,17,6,10,1,1,0
44,0,3,19,4,25,42,37,28,-12,14,2,4,-3
45,2,3,24,20,19,30,43,39,-24,-9,0,3,-1
46,3,0,8,12,40,41,41,38,-1,3,3,0,3
47,2,0,14,24,35,22,41,46,-6,-24,2,2,2
48,2,2,12,10,49,39,43,33,6,6,3,1,0
49,2,1,11,22,32,17,28,38,4,-21,2,2,1
50,1,1,1,17,44,25,23,32,21,-7,6,2,0
51,0,2,15,18,33,43,35,45,-2,-2,2,2,-2
52,2,1,17,15,38,33,51,45,-13,-12,2,1,1
53,1,0,3,9,45,33,28,34,17,-1,2,1,1
54,3,0,20,10,25,49,40,40,-15,9,2,3,3
55,0,2,5,22,45,30,31,51,14,-21,2,0,-2
